Wavelength,Red,Green,Blue
380,0.000004446,2.37E-06,0.00006565
384,0.000000923,6.81E-07,0.00009251
388,0.000003864,4.06E-07,0.0001216
392,0.000005821,2.42E-06,0.0001668
396,0.000003289,6.66E-06,0.0002135
400,0.000003773,5.34E-06,0.0002804
404,0.000001592,5.11E-06,0.000366
408,0.00000456,5.98E-06,0.0004869
412,0.000009538,7.84E-06,0.0006132
416,0.00001024,9.97E-06,0.0007441
420,0.000008728,1.13E-05,0.0009019
424,0.000008388,1.42E-05,0.001085
428,0.00001474,1.71E-05,0.001239
432,0.00001595,1.98E-05,0.001386
436,0.00001537,2.15E-05,0.001486
440,0.00001554,2.41E-05,0.001541
444,0.00001577,2.53E-05,0.001593
448,0.00001906,3.06E-05,0.00161
452,0.0000198,3.72E-05,0.001586
456,0.00001798,4.55E-05,0.001539
460,0.00001964,5.59E-05,0.001446
464,0.0000292,7.25E-05,0.001331
468,0.00003137,9.68E-05,0.001211
472,0.00002758,0.0001289,0.001089
476,0.00002211,0.0001771,0.0009447
480,0.00001945,0.0002364,0.000823
484,0.00002577,0.0003084,0.0007088
488,0.00003385,0.000391,0.0005979
492,0.00004308,0.000482,0.0004984
496,0.00004301,0.0005794,0.0004153
500,0.00002419,0.0006842,0.0003336
504,0.00002181,0.0007889,0.0002776
508,0.00004171,0.0008881,0.0002307
512,0.00005936,0.000972,0.0001906
516,0.00004362,0.001044,0.0001561
520,0.00002774,0.001098,0.0001283
524,0.00002148,0.001115,0.000103
528,0.00003038,0.001119,0.00008497
532,0.00006979,0.001107,0.00007125
536,0.000137,0.001086,0.00006047
540,0.0001311,0.001064,0.00005171
544,0.00007068,0.001022,0.00004397
548,0.00004712,0.0009719,0.00003726
552,0.00006194,0.0009146,0.00003266
556,0.00005967,0.000847,0.00002821
560,0.00004203,0.0007711,0.00002375
564,0.00003421,0.0006906,0.00001993
568,0.00002854,0.000606,0.00001702
572,0.00002828,0.000534,0.00001403
576,0.00005737,0.0004657,0.00001208
580,0.0001407,0.0004041,0.00001058
584,0.00024,0.0003475,0.000009972
588,0.0003164,0.0002899,0.00001001
592,0.0004587,0.000248,0.000009527
596,0.0004218,0.0002133,0.000008006
600,0.0002188,0.0001796,0.000005655
604,0.0001231,0.0001506,0.000004598
608,0.0002518,0.000124,0.000005026
612,0.0007314,0.0001078,0.000008065
616,0.001175,9.44E-05,0.00001139
620,0.001821,8.45E-05,0.00001699
624,0.002985,8.04E-05,0.00002525
628,0.002402,6.55E-05,0.00001981
632,0.00109,4.78E-05,0.00000966
636,0.0003453,3.47E-05,0.000003513
640,0.0001117,2.76E-05,0.000001954
644,0.00005659,2.30E-05,0.0000004819
648,0.00005164,2.01E-05,0.0000004603
652,0.00005085,1.64E-05,0.000001136
656,0.0000461,1.34E-05,0.0000007036
660,0.00004303,1.17E-05,0.000001365
664,0.00004049,9.03E-06,0.000000139
668,0.00004445,7.04E-06,0.0000001461
672,0.00004769,6.25E-06,0.000001047
676,0.00004338,5.09E-06,0.000001089
680,0.00006771,6.14E-06,0.000001327
684,0.0001215,5.32E-06,0.000001915
688,0.0001315,4.82E-06,0.000001429
692,0.0001279,4.99E-06,0.0000004892
696,0.0002936,3.30E-06,0.000004293
700,0.0009867999,9.51E-06,0.00001039
704,0.001725,1.57E-05,0.00001601
708,0.001471,1.47E-05,0.00001419
712,0.0005503,6.86E-06,0.000004482
716,0.0001446,3.23E-06,0.000001293
720,0.00005218,1.69E-06,0.000002371
724,0.0000357,1.29E-06,0.000003905
728,0.00002075,2.82E-07,0.0000005098
732,0.00001532,1.20E-06,0.0000003083
736,0.00001561,3.46E-06,0.0000009587
740,0.00001508,2.18E-06,0.0000005397
744,0.00001874,1.25E-06,0.0000003908
748,0.00001692,4.10E-07,0.0000004149
752,0.000009436,4.35E-07,0.0000007383
756,0.0000137,7.60E-07,0.000002279
760,0.00001378,3.26E-06,0.000002496
764,0.00001425,4.78E-06,0.000001088
768,0.000004848,5.31E-06,0.000002076
772,0.000002397,6.91E-07,0.000004806
776,0.000007816,6.32E-07,0.000004797
780,0.000007367,6.84E-07,0.000003182